אונטולוגיה,יחידה ספרותית,מספר יחידה ספרותית,מספר רץ ,חלוקות משנה וכפל שמות,ID חדש?,מתוך טבלת רישום מדרשים,ID: טבלת רישום מדרשים,שטראק-שטמברגר,ID: שטראק-שטמברגר,"אנציקלופדיה יודאיקה (מ""ד הר)","ID: אנציקלופדיה יודאיקה (מ""ד הר)",ויקיפדיה,ID: ויקיפדיה,"פרוייקט השו""ת","ID: פרוייקט השו""ת",רייזל,ID: רייזל,פרידברג,Friedberg,ID: פרידברג,מ. ביאליק-לרנר,ID: ביאליק לרנר,English Reference MAZAL,MAZAL ID,Common English Title,Transcribed Title,Family,
מדרש עשרת הדברות,שמות,1.2,2,1,1.2:2:1.0,מדרש עשרת הדברות,35,Midrash A͑seret ha-Dibrot,43,Midrash Aseret ha-Dibberot,62,מדרש עשרת הדיברות,52,<חוסר>,<חוסר>,מדרש עשרת הדיברות,53,מדרש עשרת הדברות,Midrash Aseret ha-Dibberot,62,<חוסר>,<חוסר>,Midrash Aseret ha-dibrot,987007286644605171,Midrash on the Ten Commandments,Midrash Aseret HaDibrot,"Aggadic Midrash, Late Midrash, Smaller Midrashim, Aggadic Prose",
מדרש אבכיר,Townsend,T,,,4:T,מדרש אבכיר,36,Midrash Abkir,22,Midrash Avkir,64,מדרש אבכיר,54,<חוסר>,<חוסר>,מדרש אבכיר,49,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Midrash Avkir,987007286644505171,Midrash Abkir,Midrash Avkir,"Late Midrash, Ashkenazi Library Midrashim",
מדרש אספה,Townsend,T,,,49:T,מדרש אספה,37,Midrash Esfah,23,Midrash Esfah,9,מדרש אספה,55,<חוסר>,<חוסר>,מדרש אספה,50,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Midrash Esfa,987011382539005171,Midrash Esfah,Midrash Esfah,"Late Midrash, Ashkenazi Library Midrashim",
דברים זוטא,דברים,1.5,,,2:1.5,דברים זוטא,38,<חוסר>,<חוסר>,<חוסר>,<חוסר>,דברים זוטא,43,<חוסר>,<חוסר>,מדרש דברים זוטא,51,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Midrash zuta. Deuteronomy,987011382539105171,Deuteronomy Zuta,Devarim Zuta,"Late Midrash, Ashkenazi Library Midrashim",
דברי הימים של משה רבינו,Townsend,T,,,238:T,דברי הימים של משה רבינו,39,Dibrê ha-yamim shel Moshe,48,Divrey ha-Yamim Shel Moshe,52,<חוסר>,<חוסר>,<חוסר>,<חוסר>,דברי הימים של משה רבנו,52,דברי הימים של משה רבינו,Chronicles of Moses Rabbenu,44,<חוסר>,<חוסר>,Chronicles of Moses,987007574638005171,Chronicles of Moses our Teacher,Divrei HaYamim shel Moshe Rabbenu,"Smaller Midrashim, Aggadic Prose",
לקח טוב/פסיקתא זוטרתא,תורה,1.1-5,10,1,1.1-5:10:1.0,לקח טוב,40,Leqaḥ Tob,77,Lekaḥ Tov (c. 1110),35,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,לקח טוב - פסיקתא זוטרתא,41,פסיקתא זוטרתא - לקח טוב,Leqakh Tov,11/ 53,<חוסר>,<חוסר>,Lekah tov/ Pesikta zutrata,,Lekah Tov / Pesikta Zutarta,Lekah Tov / Pesikta Zutarta,"Yalqutim (Anthologies), Aggadic Commentary",
שכל טוב,תורה,1.1-3,1,1,1.1-3:1:1.0,שכל טוב,41,Sekhel Tob,78,<חוסר>,<חוסר>,מדרש שכל טוב,59,שכל טוב,42,ילקוט שכל טוב,42,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,"Menachem ben Salomo, active 12th century. Midrash Sekhel tov",987009960620505171,Sekhel Tov,Sekhel Tov,"Yalqutim (Anthologies), Aggadic Commentary",
מדרש אגדה (בובר),תורה,1.1-5,11,1,1.1-5:11:1.0,מדרש אגדה (בובר),41.1,<חוסר>,<חוסר>,Midrash Aggadah,36,מדרש אגדה (בובר),60,מדרש אגדה,36,<חוסר>,<חוסר>,מדרש אגדה,,15,<חוסר>,<חוסר>,,,Midrash Aggadah (Buber),Midrash Aggadah (Buber),"Late Midrash, Aggadic Midrash, Aggadic Commentary",
מדרשים לא מוכרים,לא מזוהה,1.26,1,1,4:1:1.0,מדרשים לא מוכרים,42,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,,Unknown Midrashim,Unknown Midrashim,,
מדרש זו היא שנאמרה ברוח הקודש,לא מזוהה,4,2,1,4:2:1.0,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,מדרש זו היא שנאמרה ברוח הקודש,Midrash Zohi she-Ne'emrah be-Ruah ha-Qodesh,17,<חוסר>,<חוסר>,,,"Midrash beginning ""Zo hi she-ne’emrah be-ruah ha-kodesh""","Midrash ""zo hi she-ne’emrah be-ruah ha-kodesh""",Aggadic Midrash,
מדרשי גניזה לא מוכרים - תנחומאי,לא מזוהה,1.26,1,1.1,4:1:1.1,מדרשי גניזה לא מוכרים - תנחומאי,44.1,<חוסר>,<חוסר>,The Manuscripts of the Tanḥuma,21,<חוסר>,<חוסר>,קטעי מדרשים - גניזה (מאן),16,<חוסר>,<חוסר>,מדרשים בסגנון תנחומא,Tanhuma-type Midrashim,20,<חוסר>,<חוסר>,,,Unknown Genizah Midrashim – Tanhuma Style,Unknown Genizah Midrashim – Tanhuma Style,"Aggadic Midrash, Tanhuma-Yelmanu",
מעשה תורה לרבינו הקדוש ,Townsend,T,,,351:T,מעשה תורה לרבינו הקדוש,45,Midrash Ma͑aseh Torah,58,Midrash Shelosha ve-Arba'ah,54,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,מעשה תורה,,74,<חוסר>,<חוסר>,Maʻaśeh Torah of Judah ha-Nasi (MAZAL: Maʻaśeh Torah),987007394559105171,Ma'aseh Torah of Rabbenu HaKadosh,Ma'aseh Torah le-Rabbenu HaKadosh,"Aggadic Midrash, Smaller Midrashim, Enumaration Midrash",
מעשה רבי יהושע בן לוי,Townsend,T,,,166:T,מעשה רבי יהושע בן לוי,46,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,מעשה דר' יהושע בן לוי,,73,<חוסר>,<חוסר>,,,Ma'aseh Rabbi Yehoshua ben Levi,Ma'aseh Rabbi Yehoshua ben Levi,"Smaller Midrashim, Aggadic Prose",
יצירת הולד,Townsend,T,,,184:T,יצירת הולד,47,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,,,The Creation of the Embryo,Yetzirat HaValad,Smaller Midrashim,
אלפא ביתא דבן סירא,Townsend,T,,,73:T,אלפא ביתא דבן סירא,48,Alphabet of Ben Sira,44,Alphabet of Ben Sira,65,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,אלפא ביתא דבן סירא,Alphabet of Ben Sira,48,<חוסר>,<חוסר>,Alphabet of Ben Sira,987007257788305171,Alphabet of Ben Sira,Alfa Beta de-Ben Sira,"Aggadic Prose, Smaller Midrashim",
אותיות דרבי עקיבא,Townsend,T,,,273:T,אותיות דרבי עקיבא,49,Alphabet (Otiyyot) of R. Aqiba,70,Otiyyot de-R. Akiva,53,אותיות דרבי עקיבא,27,<חוסר>,<חוסר>,<חוסר>,<חוסר>,אותיות דרבי עקיבא,,49,<חוסר>,<חוסר>,Otiyyot de-Rabbi Akiva,987007306748305171,Letters of Rabbi Akiva,Otiyyot de-Rabbi Akiva,"Smaller Midrashim, Hekhalot and Mysticism",
חלום מרדכי,Townsend,T,,,230:T,חלום מרדכי,50,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,,,Dream of Mordecai,Halom Mordekhai,Reworked II Temple Literature,
מעשה שושנה,לא מקראי,3,6,1,3:6:1.0,מעשה שושנה,51,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,,,Story of Susanna,Ma'aseh Shoshanah,Reworked II Temple Literature,
