דפוס,סוג דפוס ,יצירה,קוד יצירה,place, year,digital editions,NLI-ID,NLI-Scanned text,Sefaria JSON Name,Sefaria JSON - LINK
"מדרש יונה עם סבוב ר' פתחיה, פראג 1595",דפוס חשוב,תשובת יונה הנביא,לא נמצא,Prague,1595,,,,,
"א' ילינק (עורך), בית המדרש א, לייפציג תרי""ג (דפוס צילום ירושלים 1938)",,תשובת יונה הנביא,לא נמצא,Jerusalem,1938,,,,,
"אגדת אגדות – קובץ מדרשים קטנים, מהד' ח""מ הורוויץ, ברלין תרמ""א (דפוס צילום ירושלים תשכ""ז)",,תשובת יונה הנביא,לא נמצא,Jerusalem,1881,,,,,
"ת' קדרי, 'מדרש תשובת יונה הנביא', קובץ על יד טז, תשס""ב, עמ' 67-84 = קדרי, מדרש",מהדורה ביקורתית,תשובת יונה הנביא,לא נמצא,Venice,2002,,,,,
"ש' בובר, ליקוטים ממדרש אלה הדברים רבה [זוטא], פרסבורג תרמ""ה.
ע' גאולה, מדרשי אגדה אבודים הידועים מאשכנז בלבד: אבכיר, אספה ודברים זוטא, עבודה לשם קבלת התואר דוקטור לפילוסופיה, האוניברסיטה העברית, ירושלים תשס""ז.",,מדרש דברים זוטא,לא נמצא,Jerusalem,1885,,,,,
"דברי הימים של משה רבנו, קושטא רע""ז.",דפוס חשוב,דברי הימים של משה רבנו,לא נמצא,Constantinople,2007,,,,,
"דברי הימים למשה רבנו, ונציה ש""ז.",דפוס חשוב,דברי הימים של משה רבנו,לא נמצא,Venice,1547,,,,,
"דברי הימים של משה רבנו, בתוך: א' ילינק, בית המדרש ב, לפסייא-וינה, תרי""ג-תרל""ח, עמ' 1-11.",,דברי הימים של משה רבנו,לא נמצא,Vienna,1853,,,,,
"דברי הימים של משה רבנו, בתוך: י""ד אייזנשטין, אוצר מדרשים ב, ניו יורק תרע""ה, עמ' 357-361.",,דברי הימים של משה רבנו,לא נמצא,New York,1915,,,,,
"א' שנאן, 'דברי הימים של משה רבנו', הספרות 24, 1977, עמ' 107-115.",,דברי הימים של משה רבנו,לא נמצא,Tel Aviv,1977,,,,,
"ע' יסיף, ספר הזכרונות: הוא דברי הימים לירחמאל, מהדורה ביקורתית בצירוף מבוא הערות ומקבילות, תל אביב תשס""א, עמ' 158-172.",,דברי הימים של משה רבנו,לא נמצא,Tel Aviv,2001,,,,,
"מדרש עשרת הדברות, פירארה שי""ד.",,מדרש עשרת הדיברות,לא נמצא,Ferrara,1554,,,,,
"מדרש עשרת הדברות, לובלין תל""ב.",,מדרש עשרת הדיברות,לא נמצא,Lublin,1672,,,,,
"א' ילינק, בית המדרש א, לייפציג תרי""ג, עמ' 62-90.",,מדרש עשרת הדיברות,לא נמצא,Leipzig,1853,,,,,
"מדרש עשרת הדברות, יל""ה הכהן פישמן-מימון (מהדיר), ירושלים תרפ""ד.",,מדרש עשרת הדיברות,לא נמצא,Jerusalem,1924,,,,,
"ע' שפירא, מדרש עשרת הדברות – טקסט מקורות ופירוש, ירושלים תשס""ה.",כפולה,מדרש עשרת הדיברות,לא נמצא,Jerusalem,2005,,,,,
"א' ילינק, בית המדרש א-ו, לייפציג תרי""ג-תרל""ח.",,ספרי אסופות של מדרשים,לא נמצא,Leipzig,1853,,,,,
"ח""מ הורוויץ, אגדת אגדות, ברלין תרמ""א.",,ספרי אסופות של מדרשים,לא נמצא,Berlin,1881,,,,,
"ח""מ הורוויץ, בית עקד האגדות, פרנקפורט תרמ""א-תרמ""ב.",,ספרי אסופות של מדרשים,לא נמצא,Frankfurt,1881,,,,,
"ח""מ הורוויץ, ספר תוספתא עתיקתא, פרנקפורט תר""ן.",,ספרי אסופות של מדרשים,לא נמצא,Frankfurt,1890,,,,,
"ש""א ורטהימר, בתי מדרשות, ירושלים תרנ""ג-תרנ""ז.",,ספרי אסופות של מדרשים,לא נמצא,Jerusalem,1893,,,,,
"ש""א ורטהימר, ספר לקט מדרשים, ירושלים תרס""ג.",,ספרי אסופות של מדרשים,לא נמצא,Jerusalem,1903,,,,,
"ש""א ורטהימר, ספר אוצר מדרשים כתבי יד, ירושלים (?) תרע""ג.",,ספרי אסופות של מדרשים,לא נמצא,Jerusalem,1913,,,,,
"ש""א ורטהימר, ספר מדרשים כתבי יד, ירושלים תרפ""ג.",,ספרי אסופות של מדרשים,לא נמצא,Jerusalem,1923,,,,,
"א' גרינהוט, ספר הלקוטים, ירושלים תרנ""ח-תרס""ד.",,ספרי אסופות של מדרשים,לא נמצא,Jerusalem,1898,,,,,
"י""ד אייזנשטיין, אוצר מדרשים, ניו יורק תרע""ה.",,ספרי אסופות של מדרשים,לא נמצא,New York,1915,,,,,
"ל' גינצבורג, גנזי שכטר א, ניו יורק תרפ""ח.",,ספרי אסופות של מדרשים,לא נמצא,New York,1928,,,,,
"ע' דשא-הלוי, ספר ילקוט מדרשים, צפת תשס""ג-תשס""ז.",,ספרי אסופות של מדרשים,לא נמצא,Safed,2003,,,,,
"Mann, The Bible as Read and Preached in the Old Synagogue, Cincinnati 1940-1966.",,ספרי אסופות של מדרשים,לא נמצא,Cincinnati,1940,,,,,
"ספר פתרון תורה, מהד' א""א אורבך, ירושלים תשל""ח.",כפולה,פתרון תורה,1.3-5:1:1.0,Jerusalem,1978,,,,,
"ספר פתרון תורה: ילקוט מדרשים ופירושים, מהד' צילום, ירושלים תשנ""ה.",,פתרון תורה,1.3-5:1:1.0,Jerusalem,1995,,,,,
"דפוס ראשון: פסיקתא זוטרתא או רבתי, ונציה ש""ו.",דפוס חשוב,לקח טוב - פסיקתא זוטרתא,לא נמצא,Venice,1546,,,,,
"מדרש לקח טוב המכונה פסיקתא זוטרתא על חמישה חומשי תורה, וילנה תר""ם (כרכים א-ב: בראשית-שמות עם מבוא וביאור מאת ש' בובר",כפולה,לקח טוב - פסיקתא זוטרתא,לא נמצא,Vilna,1880,,,,,
"כרכים ג-ה: ויקרא-דברים עם ביאור מאת א""מ פדובה).",מהדורה ביקורתית,לקח טוב - פסיקתא זוטרתא,לא נמצא,Vilna,1880,,,,,
