Midrash_MSS ID,קבוצת תעדוף,תעדוף MiDRASH,מספר מערכת,הערות לתעתוק MiDRASH,כינוי כתב היד בכתיב,חיבורים - טור זמני,הערות חיבורים,הערות,זמינות תעתוק,מקור תעתוק,הערה לזמינות תעתוק,הערה עיונית,קישור לכתב היד בספריית המקור,לטיפול במחקר משלים צדקני
248,,,990001817530205171,,"ספריית אוניברסיטת ליידן, Ms. Or. 4769",לקח טוב,"בראשית-שמות, קטעים",,,,,,,
249,,,990000687910205171,,"ספריית פלטינה, Cod. Parm. 2879",לקח טוב,מגלות,,,,,,,
250,,,990001385530205171,,"ספריית אוניברסיטת קמברידג', Ms. Add. 378, 1",לקח טוב,מגלות,,,,,,,
251,,,990001206700205171,,"הספרייה הבריטית, Harley 269",לקח טוב,רות,,,,,,,
252,,,990000882310205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. Laud. Or. 101",לקח טוב,מגלות,,,,,,,
253,,,990001171900205171,,"ספריית המכון להיסטוריה יהודית על שם עמנואל רינגלבלום, Ms. 30",לקח טוב,מגלות,,,,,,,
254,,,990001026810205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 949",לקח טוב,"בראשית-שמות, קטעים","כ""י תמני מהמאה ה-12",,,,,,
255,,,990001121750205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 6074",מדרש הגדול,שמות,"דף 223 מכיל קטע מאוחר מכ""י של מדרש הגדול (מפרשת כי תשא) דף 222 צריך להיות כרוך בראש כה""י",,,,,,
256,,,990001121670205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 6071",מדרש הגדול,בראשית,,,,,,,
257,,,990001121820205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 6303",מדרש הגדול,שמות משפטים,,,,,,,
258,,,990001121830205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 6304",מדרש הגדול,שמות עד יתרו,דפים אחדים נכרכו בבלבול,,,,,,
259,,,990031483530205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 10464",מדרש הגדול,"דברים, קטעים",,,,,,,
260,,,990001122030205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 6089",מדרש הגדול,"דברים, מאמצע ואתחנן עד קרוב לסוף האזינו",,,,,,,
261,,,990000409700205171,,"הספרייה הלאומית, Ms. Yah. Heb. 44",מדרש הגדול,ויקרא,שתי כתיבות (שתי מהדורות חיבורים?),,,,,,
262,,,990000409560205171,,"הספרייה הלאומית, Ms. Yah. Heb. 30",מדרש הגדול,בראשית,,,,,,,
263,,,990001121640205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 6068",מדרש הגדול,בראשית,,,,,,,
264,,,990001121880205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 6080",מדרש הגדול,במדבר,,,,,,,
265,,,990039343650205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 7237",מדרש הגדול,דברים,,,,,,,
266,,,990001121860205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 6079",מדרש הגדול,במדבר,"דפים 1-15 (אמצע פרשת נשא) הושלמו בקטעים מכ""י אחרים. דפים אחרים הושלמו בכתיבה מאוחרת מאד. בסוף כה""י נכרכו דפים מכתבי-יד אחרים ובהם קטעים מפרשיות במדבר-נשא (243א-246ב)",,,,,,
267,,,990000563720205171,,"בניהו, מאיר, Ms. T 410",מדרש הגדול,שמות,,,,,,,
268,,,990001121660205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 6070",מדרש הגדול,בראשית,,,,,,,
269,,,990001138860205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 4915",מדרש הגדול,"דברים, קטעים",,,,,,,
270,,,990001122050205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 6091",מדרש הגדול,דברים,,,,,,,
271,,,990000914690205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 9783",מדרש הגדול,ויקרא,,,,,,,
272,,,990001416340205171,,"ספריית קזנטנזה, רומא, Ms. 3158",פרקי דרבי אליעזר,"קובץ, כולל גם חיבורים בקבלה וספר זרובבל",,,,,,,
273,,,990001282780205171,,"ספריית מדינת בווריה, Cod.hebr. 356","פרקי דרבי אליעזר, קהלת רבה",,,,,,,,
274,,,990000852200205171,,"הספרייה הלאומית של רוסיה, Ms. EVR II A 582",פרקי דרבי אליעזר,"יש לבדוק את מספר המערכת. הקובץ לכאורה מקושר לרשומת אב, אך זו מציינת פריט אחר שהקשר שלו לקובץ אינו ברור. ע""פ א' טריטל אין מדובר בקטעים שמקורם בגניזה.",,,,,,,
275,,,990001436250205171,,"הספרייה הלאומית של רוסיה, Ms. EVR II A 275",פרקי דרבי אליעזר,"יש לבדוק את מספר המערכת. הקובץ לכאורה מקושר לרשומת אב, אך זו מציינת פריט אחר שהקשר שלו לקובץ אינו ברור. ע""פ א' טריטל אין מדובר בקטעים שמקורם בגניזה.",,,,,,,
276,,,990001439740205171,,"הספרייה הלאומית של רוסיה, Ms. EVR II A 493",פרקי דרבי אליעזר,"יש לבדוק את מספר המערכת. הקובץ לכאורה מקושר לרשומת אב, אך זו מציינת פריט אחר שהקשר שלו לקובץ אינו ברור. ע""פ א' טריטל אין מדובר בקטעים שמקורם בגניזה.",,,,,,,
277,,,990001438470205171,,"הספרייה הלאומית של רוסיה, Ms. EVR II A 411.1",פרקי דרבי אליעזר,"יש לבדוק את מספר המערכת. הקובץ לכאורה מקושר לרשומת אב, אך זו מציינת פריט אחר שהקשר שלו לקובץ אינו ברור. ע""פ א' טריטל אין מדובר בקטעים שמקורם בגניזה.",,,,,,,
278,,,990000850810205171,,"הספרייה הלאומית של רוסיה, Ms. EVR II A 374",פרקי דרבי אליעזר,"יש לבדוק את מספר המערכת. הקובץ לכאורה מקושר לרשומת אב, אך זו מציינת פריט אחר שהקשר שלו לקובץ אינו ברור. ע""פ א' טריטל אין מדובר בקטעים שמקורם בגניזה.",,,,,,,
279,,,990000775080205171,,"הספרייה הלאומית של רוסיה, Ms. EVR I 249",פרקי דרבי אליעזר,"ע""פ א' טריטל אין מדובר בקטעים שמקורם בגניזה.",,,,,,,
280,,,990000864830205171,,"ספריית פלטינה, Cod. Parm. 2454",פרקי דרבי אליעזר,,,,,,,,
281,,,990001376730205171,,"ספריית קזנטנזה, Ms. 3061",פרקי דרבי אליעזר,,,,,,,,
282,,,990000824410205171,,"ארכיון המדינה של מודינה, Ms. 2",פרקי דרבי אליעזר,"יש לבדוק את מספר המערכת. הקובץ לכאורה מקושר לרשומת אב, אך זו מציינת פריט אחר שהקשר שלו לקובץ אינו ברור.",,,,,,,
283,,,990000772620205171,,"ספריית המדינה של רוסיה, Ms. Guenzburg 1455",פרקי דרבי אליעזר,,,,,,,,
284,,,990001011860205171,,"הספרייה הלאומית, Ms. Heb. 2°10617",פרקי דרבי אליעזר,רישום קודם: ניו יורק אוסף להמן 300 (כך נרשם אצל טריטל),,,,,,,
285,,,990001637690205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד,  קאוולי 2780",פרקי דרבי אליעזר,"יש לבדוק את מספר המערכת. הקובץ לכאורה מקושר לרשומת אב, אך זו מציינת פריט אחר שהקשר שלו לקובץ אינו ברור. ע""פ א' טריטל אין מדובר בקטעים שמקורם בגניזה.",,,,,,,
286,,,990000996000205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. Opp. Add. Qu. 167",פרקי דרבי אליעזר,רישום קודם: אוקספורד נויבאואר 2495 (כך נרשם אצל טריטל),,,,,,,
287,,,990001951990205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 4925",פרקי דרבי אליעזר,רישום קודם: ברומר RAB. 1664 (כך נרשם אצל טריטל),"קובץ, כולל גם את 'אגדתא דמגילה', לברר מה זה בדיוק",,,,,,
288,,,990001951970205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 4927",פרקי דרבי אליעזר,רישום קודם: ברומר RAB. 1657 (כך נרשם אצל טריטל),,,,,,,
289,,,990001273690205171,,"ספריית היברו יוניון קולג', Ms. 2043",פרקי דרבי אליעזר,,,,,,,,
290,,,990001324770205171,,"ששון, דוד בן סלימאן, Ms. 944",פרקי דרבי אליעזר,,"ע""פ טריטל מוטלא מן הדפוס",,,,,,
291,,,990001421840205171,,"ספריית אוניברסיטת קמברידג', Ms. T-S NS 331",פרקי דרבי אליעזר,"ע""פ א' טריטל אין מדובר בקטע שמקורו בגניזה.",,,,,,,
292,,,990001209710205171,,"הספרייה הבריטית, Harley 5704",ילקוט מכירי,תרי עשר,,,,,,,
293,,,990001950460205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 5031",ילקוט מכירי,מיכה,,,,,,,
294,,,990001634040205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. heb. c. 22",מדרש אגדה (בובר),,,,,,,,
295,,,990001195010205171,,לא ידוע היכן נמצא,מדרשי ר' שמואל מסנות,מדרש ר' שמואל מסנות לבראשית,,,,,,,
296,,,990000675400205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 4979",מדרשי ר' שמואל מסנות,מדרש ר' שמואל מסנות לבמדבר,,,,,,,
297,,,990001625050205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. Hunt. 147",מדרשי ר' שמואל מסנות,מדרש ר' שמואל מסנות לויקרא,,,,,,,
298,,,990000879790205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. Hunt. 72",מדרשי ר' שמואל מסנות,"מדרש ר' שמואל מסנות לאיוב, מעין גנים",,,,,,,
299,,,990001581230205171,,"ספריית הוטיקן, Ms. ebr. 97",מדרשי ר' שמואל מסנות,"מדרש ר' שמואל מסנות דברי הימים, דניאל, עזרא-נחמיה",,,,,,,
300,,,990000673980205171,,"מכון שוקן למחקר היהדות, Ms. 2057",מדרשי ר' שמואל מסנות,מדרש ר' שמואל מסנות קטעי מדרש מפוזרים,,,,,,,
,,,990001178680205171,,"ספריית המכון להיסטוריה יהודית על שם עמנואל רינגלבלום, Ms. 374","מדרש עשרת הדברות, מדרש ויושע, מעשה תורה לרבינו הקדוש, אנתולוגיות לא מוכרות",,,,,,,,
,,,990001705420205171,,"ספריית הוטיקן, Ms. ebr. 285","מדרש עשרת הדברות, מדרש ויושע, מעשה תורה לרבינו הקדוש, אנתולוגיות לא מוכרות","החבורים במס' 13-15, 18-23, 25 הועתקו גם, באותו סדר, בכ""י ניו יורק בהמ""ל 2499 MS.. מס' 6, 7, 10 כבכ""י מונטיפיורי 279. הקובץ הנ""ל חסר תיאור תוכן עניינין ביבילוגרפי בכתיב",,,,,,,
,,,990000639580205171,,"ספריית הוטיקן, Ms. ebr. 249","מדרש עשרת הדברות, שיר השירים רבה",,,,,,,,
,,,990001739790205171,,"הספרייה המרכזית של ציריך, Ms. Heid. 192","אנתולוגיות לא מוכרות, מדרש ויושע, מדרש חסרות ויתרות, מדרש עשרת הדברות, תנחומא הנדפס - קושטא",,טעות סופר אצל ענת שפירא במקום 181 זהו 192,,,,,,
,,,990000619750205171,,"ספריית הוטיקן, Ms. ebr. 107",מדרש עשרת הדברות,,,,,,,,
,,,"מדרש עשרת הדברות, מדרש ויושע, אנתולוגיות לא מוכרות",,"ספריית פלטינה, Cod. Parm. 2269","מדרש עשרת הדברות, מדרש ויושע, אנתולוגיות לא מוכרות, אלפא ביתא דבן סירא, דברי הימים של משה רבינו",,,,,,,,
,,,990001382410205171,,"ספריית האוניברסיטה יוהן קרישטין סנקנברג, Ms. Oct. 227",מדרש עשרת הדברות,,,,,,,,
,,,990000569910205171,,לא ידוע היכן נמצא,"אנתולוגיות לא מוכרות, מדרש עשרת הדברות, אותיות דרבי עקיבא, דרך ארץ זוטא, דברי הימים של משה רבינו, מסכתות קטנות","ספריית בית הדין, לונדון, אנגליה Ms. 28",,,,,,,
,,,990000880330205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. Opp. 236a",מדרש עשרת הדברות,,,,,,,,
,,,990000937750205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. Bodl. Or. 135","מדרש עשרת הדברות, אלפא ביתא דבן סירא, דברי הימים של משה רבינו, מדרש ויושע, אנתולוגיות לא מוכרות",,,,,,,,
,,,990001389860205171,,"ספריית אוניברסיטת קמברידג', Ms. Add. 633",מדרש עשרת הדברות,,,,,,,,
,,,990001738080205171,,"הספרייה המרכזית של ציריך, Ms. Heid. 189","מדרש עשרת הדברות, אנתולוגיות לא מוכרות",,,,,,,,
,,,990001224070205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 9851",בריתא דמלאכת המשכן,,,,,,,,
,,,990000887200205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. Opp. 726","בריתא דמלאכת המשכן, מסכתות קטנות",,,,,,,,
,,,990001265430205171,,"ספריית מדינת בווריה, Cod.hebr. 95","בריתא דמלאכת המשכן, מסכתות קטנות, סדר עולם, מדרשים קטנים - לפני בירור",,,,,,,,
,,,990000940710205171,,"הספרייה הלאומית של צרפת, Ms. hebr. 353",בריתא דמלאכת המשכן,קובץ קבלי,,,,,,,
,,,990001138890205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 5029",מדרש חדש,,,,,,,,
,,,990001142530205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 4937a",בראשית רבה,"מדרש חכמים: ליקוט, קיצור ועיבוד של דרשות מבראשית רבה ומדרשי ההלכה בתוספת פירושים עצמאיים",,,,,,,
,,,990001278560205171,,"ספריית מדינת בווריה, Cod.hebr. 205",מדרש השכם (והזהיר),,,,,,,,
,,,990001950840205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 5005",מדרש אגור,מתוך קובץ,,,,,,,
,,,990001951240205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 4977",מדרש אגור,,,,,,,,
,,,990001950010205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 4893 ",מדרש אגור,מתוך קובץ,,,,,,,
,,,990001951500205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 4945",מדרש אגור,"קובץ במדרש, לפי קטלוג הספרייה הלאומית יש כאן גם תנומא לבראשית, יש לברר איזה תנחומא",,,,,,,
,,,990001300750205171,,"הספרייה הלאומית של צרפת, Ms. hebr. 842",ברייתא דר' אלעזר בן יוסי הגלילי,,,,,,,,
,,,990001049020205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 2324",ברייתא דר' אלעזר בן יוסי הגלילי,מתוך קובץ בקבלה,,,,,,,
,,,990000678820205171,,"ספריית פלטינה, Cod. Parm. 3463",ברייתא דר' אלעזר בן יוסי הגלילי,מתוך קובץ בקבלה,,,,,,,
,,,990001285650205171,,"ספריית מדינת בווריה, Cod.hebr. 222",ברייתא דר' אלעזר בן יוסי הגלילי,מתוך קובץ מדרשים קטנים וחיבורים נוספים,,,,,,,
,,,990000564430205171,,"ספריית הוטיקן, Ms. ebr. 303","ברייתא דר' אלעזר בן יוסי הגלילי, מדרש עשרת הדברות","מתוך קובץ עם הרבה חיבורי ראשונים, מעט מדרשים קטנים, וכן אבות דרבי נתן (צריך לבדוק איזה נוסח)",,,,,,,
,,,990000776760205171,,"הספרייה הלאומית של רוסיה, Ms. EVR I 247",ברייתא דר' אלעזר בן יוסי הגלילי,,,,,,,,
,,,990025794180205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 8163","אנתולוגיות לא מוכרות, מסכתות קטנות, דרך ארץ זוטא, דרך ארץ רבה, מעשה תורה לרבינו הקדוש, ברייתא דישועה, ברייתא דר' אלעזר בן יוסי הגלילי",,,,,,,,
,,,990000929300205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. Arch. Seld. Superius 104",ברייתא דר' אלעזר בן יוסי הגלילי,"מתוך קובץ הכולל ספרי פילוסופיה, מוסר ופרשנות וליקוטי אגדות",,,,,,,
,,,990001318380205171,,"הספרייה הלאומית של צרפת, Ms. hebr. 1216",ברייתא דר' אלעזר בן יוסי הגלילי,נעתק אחר ספר הרקמה,,,,,,,
,,,990001625410205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. Hunt. 449",דרך ארץ רבה,סדור ר' שלמה סג'למסה הכולל את  דרך ארץ,אולי יש לתעד סידורים?,,,,,,
,,,990001293260205171,,"הספרייה הלאומית של צרפת, Ms. hebr. 394",ברייתא דר' אלעזר בן יוסי הגלילי,"מתוך קובץ חיבורים הלכתיים ותלמודיים, נכלל תחת רשומה שכותרתה ליקוטים שהיא עצמה קובץ של חיבורים קבליים ומדרשיים",,,,,,,
,,,990000625610205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. Mich. 175","מסכתות קטנות, דרך ארץ רבה, דרך ארץ זוטא, אנתולוגיות לא מוכרות",,,,,,,,
,,,990000961530205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. Opp. 613","דרך ארץ רבה, מסכתות קטנות, אלפא ביתא דבן סירא, אנתולוגיות לא מוכרות",,,,,,,,
,,,990001625670205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. Opp. 59",,מחזור ויטרי הכולל את דרך ארץ,,,,,,,
,,,990000593700205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. Mich. 569",,סידור הכולל את דרך ארץ ומדרשים קטנים,,,,,,,
,,,990000776590205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. Poc. 285",דרך ארץ זוטא,,,,,,,,
,,,990000888510205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. Poc. 43",דרך ארץ זוטא,"דומה ל ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. Poc. 285",,,,,,,
,,,990000919340205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. Bodl. Or. 603",דרך ארץ רבה,"בתיאור, הלכות דרך ארץ.",,,,,,,
,,,990000995160205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. Opp. Add. fol. 56",,סדר תנאים ואמוראים ומסכת דרך ארץ,,,,,,,
,,,990000578650205171,,"ספריית מונטיפיורי, Ms. 64","מסכתות קטנות, דרך ארץ רבה",,,,,,,,
,,,990001868990205171,,"ספריית אוניברסיטת פרינסטון, Ms. 35",דרך ארץ זוטא,"פרק רבי יצחק בן פרנך, מדרש ויסעו",,,,,,,
,,,990001389400205171,,"ספריית אוניברסיטת קמברידג', Ms. Add. 539",דרך ארץ זוטא,,,,,,,,
,,,990000896960205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. Marsh 580",דרך ארץ זוטא,,,,,,,,
,,,990001179240205171,,"ספריית המכון להיסטוריה יהודית על שם עמנואל רינגלבלום, Ms. 428","דרך ארץ רבה, דרך ארץ זוטא",,,,,,,,
