Midrash_MSS ID,קבוצת תעדוף,תעדוף MiDRASH,מספר מערכת,הערות לתעתוק MiDRASH,כינוי כתב היד בכתיב,חיבורים - טור זמני,הערות חיבורים,הערות,זמינות תעתוק,מקור תעתוק,הערה לזמינות תעתוק,הערה עיונית,קישור לכתב היד בספריית המקור,לטיפול במחקר משלים צדקני
30,מדרשים קטנים,3,990001338100205171,,"ספריית ז'נבה, ז'נבה, Ms. Comites Latentes 145",אותיות דרבי עקיבא,"אותיות דרבי עקיבא - על פי יעל אוקון שונה מהנדפס. הכרך כולל כתבי יד בכתיבות שונות במאות טז-יח, יש לבדוק באיזו כתיבה המדרש.",,,,,,,
31,ספרות תנחומא-ילמדנו,1,990000880140205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, אוקספורד, אנגליה Ms. Opp. 20",תנחומא בובר,,,,,,,,V
32,ספרות תנחומא-ילמדנו,1,990000880150205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, אוקספורד, אנגליה Ms. Mich. 577","תנחומא בובר, מדרש אבא גוריון (אסתר), אנתולוגיות לא מוכרות","אנתולוגיות לא מוכרות: ששה עמודים של מדרשים על איכה, רות ועוד. ",,,,,,,V
33,ספרות תנחומא-ילמדנו,2,990025892320205171,,"הספרייה הלאומית, ירושלים, ישראל Ms. Heb. 4°811","תנחומא הנדפס - קושטא, ויקרא רבה",תנחומא הנדפס: ויקרא עד דברים,"כתב יד תימני מאוחר, לבדיקה האם מבוסס דפוס. ייתכן שכתה""י נכרך יחד עם ספר מכלל יופי ולכן האחרון מופיע כרשומת האב שלו בקטלוג NLI",,,,,,V
34,ספרות תנחומא-ילמדנו,2,990028164240205171,,"קרופ, מיכאל, ירושלים, Ms. 753",תנחומא הנדפס - קושטא,תנחומא הנדפס: בראשית (מוירא) עד במדבר (חוקת),"כתב יד תימני מאוחר, לבדיקה האם מבוסס דפוס.",,,,,,V
35,ספרות תנחומא-ילמדנו,2,990037772620205171,,"הספרייה הבריטית, לונדון, Or. 10485",תנחומא בובר,תנחומא בובר: לקט מפרשת נשוא,כרך של קטעים מאוסף גאסטר. דפים 7ב-9ב. גניזה. אפשר שיש שיבוש בתצלום בפרידברג שכן דף 7א תלמוד בכתיבה שונה לחלוטין.,,,,,,V
36,ילקוטים,1,990000797850205171,,"ספריית המדינה של רוסיה, מוסקבה, Ms. Guenzburg 512",תלמוד תורה,ילקוט תלמוד תורה: ויקרא,,,,,,,
37,ספרות תנחומא-ילמדנו,2,990000802190205171,,"ספריית המדינה של רוסיה, מוסקבה, Ms. Guenzburg 321",תנחומא הנדפס - קושטא,"תנחומא הנדפס: דפים בודדים עם ליקוט מתנחומא, דורש בירור איזו משפחה.",,,,,,,V
38,ספרות תנחומא-ילמדנו,2,990000450210205171,,"הספרייה הלאומית, ירושלים, ישראל Ms. Heb. 28°555",תנחומא בובר,"תנחומא בובר: קטע מאמצע וילך עד הסוף. טרם נבדק. מדובר ברשומת בן, אך רשומת האב שאליה יש קישור בקטלוג NLI היא רשומת בן נוספת של חיבור נוסף שנמצא באותו הקובץ. צריך לברר מה מספר המערכת של הקובץ כולו.",,,,,,,V
39,מדרשי רבה,1,990001289150205171,,"הספרייה הלאומית של צרפת, פריס, Ms. hebr. 149","בראשית רבה, ויקרא רבה, במדבר רבה, אסתר רבה",במדבר רבה: פרשות א-ה; אסתר רבה: פרשות ג-ד,,,,,,,
40,מדרשי רבה,1,990001209660205171,,"הספרייה הבריטית, לונדון, Add. 27169","בראשית רבה, ויקרא רבה",,,,,,,,
41,מדרשי רבה,1,990001943530205171,,"ספריית הוטיקן, קרית הוטיקן, Ms. ebr. 76","שיר השירים רבה, מדרש משלי, מדרש תהלים",,מה פשר הסימון 76.3 אצל קדרי ? ,,,,,,
42,מדרשי רבה,1,990001986900205171,,"ספריית הוטיקן, קרית הוטיקן, Ms. ebr. 32",ויקרא רבה,,,,,,,,
43,מדרשי רבה,1,990001277710205171,,"ספריית מדינת בווריה, מינכן, גרמניה Cod.hebr. 117","ויקרא רבה, מעשה חנוכה, מעשה יהודית, מעשה שושנה, שמות רבה - חלק ב","כולל גם מכילתא, ומדרש על משלי ג:יט (ילינק, בית המדרש ה' 63 - 67 לבדיקה)",,,,,,,
